Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
Batman: The Animated Series,(1992–1995),NA,23 min,"Animation, Action, Adventure",9,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,NA,87651
The Man in the High Castle,(2015–2019),18+,60 min,"Drama, Sci-Fi, Thriller",8,"In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.",Alexa Davalos,Luke Kleintank,Rufus Sewell,Rupert Evans,87398
Banshee,(2013–2016),18,60 min,"Action, Crime, Drama",8.4,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania; where he has some unfinished business.",Antony Starr,Ivana Milicevic,Ulrich Thomsen,Frankie Faison,86987
Justified,(2010–2015),NA,44 min,"Action, Crime, Drama",8.6,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",Nick Searcy,Joelle Carter,Jacob Pitts,NA,86875
Making a Murderer,(2015–2018),16,60 min,"Documentary, Crime",8.6,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",Dolores Avery,Steven Avery,Laura Nirider,Ken Kratz,86831
Scam 1992: The Harshad Mehta Story,(2020),18,54 min,"Biography, Crime, Drama",9.4,"Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,86565
Killing Eve,(2018– ),15+,42 min,"Action, Adventure, Drama",8.3,"After a series of events, the lives of a security operative and an assassin become inextricably linked.",Jodie Comer,Sandra Oh,Fiona Shaw,Kim Bodnia,86441
The Last Kingdom,(2015– ),18+,60 min,"Action, Drama, History",8.4,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",Alexander Dreymon,Eliza Butterworth,Ian Hart,Arnas Fedaravicius,85696
Falling Skies,(2011–2015),NA,42 min,"Action, Adventure, Drama",7.2,Survivors of an alien attack on earth gather together to fight for their lives and fight back.,Drew Roy,Maxim Knight,Will Patton,NA,85452
Psych,(2006–2014),13,44 min,"Comedy, Crime, Mystery",8.3,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.",James Roday Rodriguez,Dulé Hill,Timothy Omundson,Corbin Bernsen,85395
After Life,(2019– ),18,30 min,"Comedy, Drama",8.4,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.",Ricky Gervais,Tom Basden,Tony Way,Diane Morgan,85275
Fawlty Towers,(1975–1979),NA,30 min,Comedy,8.7,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Prunella Scales,Andrew Sachs,Connie Booth,NA,85077
The Americans,(2013–2018),15+,44 min,"Crime, Drama, Mystery",8.4,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",Keri Russell,Matthew Rhys,Keidrich Sellati,Holly Taylor,84480
Naruto: Shippûden,(2007–2017),7,24 min,"Animation, Action, Adventure",8.6,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,84330
The Fall,(I) (2013–2016),18,60 min,"Crime, Drama, Thriller",8.2,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.,Gillian Anderson,Jamie Dornan,John Lynch,Aisling Franciosi,84318
Stargate SG-1,(1997–2007),U,44 min,"Action, Adventure, Drama",8.4,"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.",Richard Dean Anderson,Michael Shanks,Amanda Tapping,Christopher Judge,83840
The Following,(2013–2015),NA,43 min,"Crime, Drama, Horror",7.4,"A brilliant and charismatic, yet psychotic serial killer communicates with other active serial killers and activates a cult of believers following his every command.",James Purefoy,Shawn Ashmore,Valorie Curry,NA,83837
SpongeBob SquarePants,(1999– ),NA,23 min,"Animation, Comedy, Family",8.2,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple.",Bill Fagerbakke,Rodger Bumpass,Clancy Brown,NA,83777
Legion,(2017–2019),NA,60 min,"Action, Drama, Sci-Fi",8.2,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever.",Rachel Keller,Aubrey Plaza,Bill Irwin,NA,82618
Law & Order: Special Victims Unit,(1999– ),NA,60 min,"Crime, Drama, Mystery",8,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.",Christopher Meloni,Ice-T,Dann Florek,NA,81738
The O.C.,(2003–2007),18,44 min,"Comedy, Drama, Romance",7.5,"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.",Mischa Barton,Adam Brody,Peter Gallagher,Kelly Rowan,81345
Revolution,(2012–2014),NA,43 min,"Action, Adventure, Drama",6.7,"Fifteen years after a permanent global blackout, a group of revolutionaries seeks to drive out an occupying force posing as the United States Government.",Tracy Spiridakos,Giancarlo Esposito,Zak Orth,NA,80918
The Marvelous Mrs. Maisel,(2017– ),16+,57 min,"Comedy, Drama",8.7,A housewife in 1958 decides to become a stand-up comic.,Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,80775
The Inbetweeners,(2008–2010),15+,25 min,Comedy,8.4,Follows four friends and their antics during their final years of school.,Simon Bird,James Buckley,Blake Harrison,Joe Thomas,80304
The Leftovers,(2014–2017),A,60 min,"Drama, Fantasy, Mystery",8.3,"Three years after the disappearance of two percent of the global population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.",Justin Theroux,Amy Brenneman,Christopher Eccleston,Liv Tyler,80194
American Crime Story,(2016– ),18,42 min,"Biography, Crime, Drama",8.4,An anthology series centered around America's most notorious crimes and criminals.,Sarah Paulson,Annaleigh Ashford,Sterling K. Brown,Kenneth Choi,80144
Terra Nova,(2011),UA,46 min,"Adventure, Drama, Mystery",6.8,"Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization.",Jason O'Mara,Shelley Conn,Christine Adams,Allison Miller,79989
Last Week Tonight with John Oliver,(2014– ),NA,30 min,"Comedy, News, Talk-Show",8.9,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,David Kaye,Ryan Barger,Noel MacNeal,NA,79473
Chilling Adventures of Sabrina,(2018–2020),18,60 min,"Drama, Fantasy, Horror",7.5,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",Kiernan Shipka,Ross Lynch,Lucy Davis,Chance Perdomo,77835
Designated Survivor,(2016–2019),16+,60 min,"Action, Drama, Mystery",7.5,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,Kiefer Sutherland,Adan Canto,Italia Ricci,Kal Penn,77717
Ray Donovan,(2013–2020),18,60 min,"Crime, Drama",8.3,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",Liev Schreiber,Eddie Marsan,Dash Mihok,Pooch Hall,77454
CSI: Crime Scene Investigation,(2000–2015),16,60 min,"Crime, Drama, Mystery",7.6,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,Laurence Fishburne,Marg Helgenberger,George Eads,Eric Szmanda,77119
Adventure Time,(2010–2018),NA,11 min,"Animation, Short, Action",8.6,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",Jeremy Shada,Tom Kenny,Hynden Walch,NA,77029
The King of Queens,(1998–2007),NA,22 min,Comedy,7.3,"Delivery man Doug Heffernan has a good life: He has a pretty wife (Carrie), a big television, and friends with which to watch it. Then Carrie's goofy and annoying father Arthur moves in with them.",Leah Remini,Jerry Stiller,Patton Oswalt,NA,75766
Charmed,(1998–2006),U,42 min,"Drama, Fantasy, Mystery",7.1,"Three sisters discover their destiny, to battle against the forces of evil, using their witchcraft. They are the Charmed Ones.",Holly Marie Combs,Alyssa Milano,Brian Krause,Rose McGowan,75566
Sacred Games,(2018–2019),A,50 min,"Action, Crime, Drama",8.6,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",Saif Ali Khan,Nawazuddin Siddiqui,Neeraj Kabi,Elnaaz Norouzi,75517
The Strain,(2014–2017),NA,43 min,"Drama, Fantasy, Horror",7.3,A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.,David Bradley,Kevin Durand,Jonathan Hyde,NA,75310
American Gods,(2017– ),A,60 min,"Drama, Fantasy, Mystery",7.8,"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.",Ricky Whittle,Emily Browning,Yetide Badaki,Bruce Langley,75251
Skins,(2007–2013),UA,46 min,Drama,8.2,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.,Kaya Scodelario,Nicholas Hoult,Joe Dempsie,Hannah Murray,74985
Louie,(2010–2015),NA,22 min,"Comedy, Drama",8.5,"The life of Louie C.K., a divorced comedian living in New York with two kids.",Hadley Delany,Ursula Parker,Pamela Adlon,NA,74510
Gravity Falls,(2012–2016),PG,23 min,"Animation, Adventure, Comedy",8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,74188
Frasier,(1993–2004),NA,22 min,Comedy,8.1,"Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father, and works as a radio psychiatrist.",Jane Leeves,David Hyde Pierce,Peri Gilpin,NA,73865
Merlin,(2008–2012),16,45 min,"Adventure, Drama, Fantasy",7.9,"These are the brand new adventures of Merlin, the legendary sorcerer as a young man, when he was just a servant to young Prince Arthur on the royal court of Camelot, who has soon become his best friend, and turned Arthur into a great king and a legend.",John Hurt,Colin Morgan,Bradley James,Richard Wilson,73807
Star Trek,(1966–1969),7,50 min,"Action, Adventure, Sci-Fi",8.3,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols,73798
Agent Carter,(2015–2016),12+,42 min,"Action, Adventure, Sci-Fi",7.9,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis.",Hayley Atwell,James D'Arcy,Enver Gjokaj,Chad Michael Murray,73555
Lost in Space,(2018– ),7,60 min,"Adventure, Drama, Family",7.3,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers.",Maxwell Jenkins,Molly Parker,Toby Stephens,Taylor Russell,73503
Da Vinci's Demons,(2013–2015),NA,59 min,"Adventure, Biography, Drama",8,"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future.",Gregg Chillin,Eros Vlahos,Laura Haddock,NA,73435
The Shield,(2002–2008),NA,47 min,"Crime, Drama, Thriller",8.7,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.,Catherine Dent,Walton Goggins,Michael Jace,NA,72190
One Tree Hill,(2003–2012),13,60 min,"Drama, Romance, Sport",7.7,"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",Chad Michael Murray,James Lafferty,Hilarie Burton,Bethany Joy Lenz,72029
The Twilight Zone,(1959–1964),NA,51 min,"Drama, Fantasy, Horror",9,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",Robert McCord,Jay Overholts,Vaughn Taylor,NA,71572
Naruto,(2002–2007),16,24 min,"Animation, Action, Adventure",8.3,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,71299
One Piece: Wan pîsu,(1999– ),7,24 min,"Animation, Action, Adventure",8.7,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura,70275
Schitt's Creek,(2015–2020),18+,22 min,Comedy,8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,69726
Billions,(2016– ),15+,60 min,Drama,8.4,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",Paul Giamatti,Damian Lewis,Maggie Siff,David Costabile,69707
The Tudors,(2007–2010),18,60 min,"Drama, History, Romance",8.1,A dramatic series about the reign and marriages of King Henry VIII.,Jonathan Rhys Meyers,Henry Cavill,Anthony Brophy,James Frain,68757
Dragon Ball Z: Doragon bôru zetto,(1989–1996),NA,24 min,"Animation, Action, Adventure",8.7,The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.,Kyle Hebert,Masako Nozawa,Christopher Sabat,NA,68721
The Good Wife,(2009–2016),16,43 min,"Crime, Drama, Mystery",8.3,"Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.",Julianna Margulies,Chris Noth,Josh Charles,Matt Czuchry,68316
Burn Notice,(2007–2013),NA,44 min,"Action, Crime, Drama",7.9,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.,Gabrielle Anwar,Bruce Campbell,Sharon Gless,NA,68149
Preacher,(2016–2019),18+,60 min,"Adventure, Drama, Fantasy",8,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.",Dominic Cooper,Joseph Gilgun,Ruth Negga,Ian Colletti,67982
Monty Python's Flying Circus,(1969–1974),NA,30 min,Comedy,8.8,The original surreal sketch comedy showcase for the Monty Python troupe.,John Cleese,Terry Gilliam,Eric Idle,NA,67637
Paranormal,(2020– ),15+,45 min,"Drama, Fantasy, Horror",8.1,"Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of PARANORMAL leading character Dr. Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events.",Ahmed Amin,Reem Abd El Kader,Samma Ibrahim,Razane Jammal,67621
Veronica Mars,(2004–2019),NA,44 min,"Crime, Drama, Mystery",8.3,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.",Jason Dohring,Enrico Colantoni,Percy Daggs III,NA,67440
Scandal,(2012–2018),NA,43 min,"Drama, Thriller",7.7,A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.,Darby Stanchfield,Katie Lowes,Guillermo Díaz,NA,67302
Russian Doll,(2019– ),A,30 min,"Adventure, Comedy, Drama",7.9,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.,Natasha Lyonne,Charlie Barnett,Greta Lee,Elizabeth Ashley,67111
Hawaii Five-0,(2010–2020),16,42 min,"Action, Crime, Drama",7.3,Steve McGarrett returns home to Oahu in order to find his father's killer,Alex O'Loughlin,Scott Caan,Taylor Wily,Daniel Dae Kim,66917
Titans,(I) (2018– ),A,45 min,"Action, Adventure, Crime",7.7,A team of young superheroes combat evil and other perils.,Brenton Thwaites,Teagan Croft,Anna Diop,Ryan Potter,66812
Blindspot,(2015–2020),16,42 min,"Action, Crime, Drama",7.4,Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.,Sullivan Stapleton,Jaimie Alexander,Audrey Esparza,Ashley Johnson,66693
Master of None,(2015–2017),16,30 min,"Comedy, Drama",8.3,"The personal and professional life of Dev, a 30-year-old actor in New York.",Aziz Ansari,Eric Wareheim,Lena Waithe,Noël Wells,66241
Bob's Burgers,(2011– ),U,22 min,"Animation, Comedy",8.1,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,H. Jon Benjamin,Dan Mintz,Eugene Mirman,John Roberts,65840
Monk,(2002–2009),NA,44 min,"Comedy, Crime, Drama",8,"The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant who battles with an obsessive-compulsive disorder.",Jason Gray-Stanford,Ted Levine,Traylor Howard,NA,65536
Girls,(2012–2017),18,28 min,"Comedy, Drama",7.3,A comedy about the experiences of a group of girls in their early 20s.,Lena Dunham,Allison Williams,Jemima Kirke,Adam Driver,65415
Euphoria,(2019– ),18+,55 min,Drama,8.4,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.",Zendaya,Hunter Schafer,Jacob Elordi,Maude Apatow,65173
The West Wing,(1999–2006),NA,44 min,Drama,8.8,Inside the lives of staffers in the West Wing of the White House.,Rob Lowe,Allison Janney,John Spencer,NA,64977
Marco Polo,(2014–2016),18,60 min,"Adventure, Drama, History",8,"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.",Lorenzo Richelmy,Benedict Wong,Joan Chen,Remy Hii,64780
Ash vs Evil Dead,(2015–2018),NA,30 min,"Action, Comedy, Fantasy",8.4,"Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.",Ray Santiago,Dana DeLorenzo,Lucy Lawless,NA,64769
Angel,(1999–2004),NA,44 min,"Action, Drama, Fantasy",7.9,"The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption.",Charisma Carpenter,Alexis Denisof,J. August Richards,NA,64650
Everybody Loves Raymond,(1996– ),NA,22 min,Comedy,7.1,The comical everyday life of sports columnist Ray Barone and his dysfunctional family.,Patricia Heaton,Brad Garrett,Doris Roberts,NA,64042
The Grand Tour,(2016– ),16,60 min,"Comedy, Talk-Show",8.7,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,63922
Star Wars: The Clone Wars,(2008–2020),PG,23 min,"Animation, Action, Adventure",8.3,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,Tom Kane,Dee Bradley Baker,Matt Lanter,James Arnold Taylor,63880
Unbreakable Kimmy Schmidt,(2015–2019),18,30 min,Comedy,7.6,A woman is rescued from a doomsday cult and starts life over again in New York City.,Ellie Kemper,Jane Krakowski,Tituss Burgess,Carol Kane,63590
The Good Doctor,(2017– ),15+,41 min,Drama,8.2,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",Freddie Highmore,Antonia Thomas,Hill Harper,Richard Schiff,63145
Hagane no renkinjutsushi,(2003–2004),16,24 min,"Animation, Action, Adventure",8.5,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.",Vic Mignogna,Aaron Dismuke,Romi Pak,Rie Kugimiya,62353
The Outsider,(2020– ),15+,60 min,"Crime, Drama, Fantasy",7.8,Investigators are confounded over an unspeakable crime that's been committed.,Ben Mendelsohn,Bill Camp,Jeremy Bobb,Mare Winningham,62162
Limitless,(2015–2016),18,42 min,"Comedy, Crime, Drama",7.7,An average twenty-eight-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant.,Jake McDorman,Jennifer Carpenter,Hill Harper,Mary Elizabeth Mastrantonio,61999
Stargate: Atlantis,(2004–2009),NA,44 min,"Action, Adventure, Drama",8.1,"An international team of scientists and military personnel discover a Stargate network in the Pegasus Galaxy and come face-to-face with a new, powerful enemy, The Wraith.",Rachel Luttrell,David Hewlett,Jason Momoa,NA,61228
Bridgerton,(2020– ),18,60 min,"Drama, Romance",7.3,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",Phoebe Dynevor,Regé-Jean Page,Nicola Coughlan,Jonathan Bailey,61224
Narcos: Mexico,(2018– ),18+,50 min,"Crime, Drama",8.4,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,Scoot McNairy,Diego Luna,José María Yazpik,Fermín Martínez,60913
Atypical,(2017–2021),18,30 min,"Comedy, Drama",8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",Jennifer Jason Leigh,Keir Gilchrist,Brigette Lundy-Paine,Michael Rapaport,60545
iZombie,(2015–2019),18,42 min,"Comedy, Crime, Drama",7.8,"A medical resident finds that being a zombie has its perks, which she uses to assist the police.",Rose McIver,Malcolm Goodwin,Rahul Kohli,Robert Buckley,60535
Star Trek: Voyager,(1995–2001),NA,44 min,"Action, Adventure, Sci-Fi",7.8,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",Robert Beltran,Roxann Dawson,Robert Duncan McNeill,NA,59620
The Orville,(2017– ),12+,44 min,"Adventure, Comedy, Drama",8,An exploratory ship from Earth faces intergalactic challenges 400 years in the future.,Seth MacFarlane,Adrianne Palicki,Penny Johnson Jerald,Scott Grimes,59184
Flashforward,(2009–2010),NA,42 min,"Drama, Mystery, Sci-Fi",7.6,A special task force in the FBI investigates after every person on Earth simultaneously blacks out and awakens with a short vision of their future.,Joseph Fiennes,Jack Davenport,Zachary Knighton,NA,59021
Bron/Broen,(2011–2018),NA,60 min,"Crime, Mystery, Thriller",8.6,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",Rafael Pettersson,Sarah Boberg,Dag Malmberg,NA,58826
Hunter x Hunter,(2011–2014),16,24 min,"Animation, Action, Adventure",8.9,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.",Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,57950
Continuum,(I) (2012–2015),NA,45 min,"Action, Sci-Fi, Thriller",7.6,A detective from the year 2077 finds herself trapped in present day Vancouver and searching for ruthless criminals from the future.,Victor Webster,Erik Knudsen,Stephen Lobo,NA,57836
Big Mouth,(2017– ),18+,30 min,"Animation, Comedy, Romance",8,Teenage friends find their lives upended by the wonders and horrors of puberty.,Nick Kroll,John Mulaney,Jessi Klein,Jason Mantzoukas,57512
Sleepy Hollow,(2013–2017),NA,45 min,"Action, Adventure, Crime",7.4,Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.,Lyndie Greenwood,Nicole Beharie,Orlando Jones,NA,57426
Santa Clarita Diet,(2017–2019),18,30 min,"Comedy, Horror",7.8,"Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn.",Drew Barrymore,Timothy Olyphant,Liv Hewson,Skyler Gisondo,57425
Terminator: The Sarah Connor Chronicles,(2008–2009),NA,60 min,"Action, Drama, Fantasy",7.7,"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.",Thomas Dekker,Summer Glau,Richard T. Jones,NA,57311
Twin Peaks,(2017),NA,60 min,"Crime, Drama, Fantasy",8.5,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Sheryl Lee,Michael Horse,Chrysta Bell,NA,57278
Quantico,(2015–2018),18,42 min,"Crime, Drama, Mystery",6.7,A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.,Priyanka Chopra,Jake McLaughlin,Johanna Braddy,Aunjanue Ellis,57230
Friday Night Lights,(2006–2011),NA,44 min,"Drama, Sport",8.6,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",Connie Britton,Zach Gilford,Aimee Teegarden,NA,56165
Dead to Me,(2019– ),18,30 min,"Comedy, Drama",8,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,Christina Applegate,Linda Cardellini,Sam McCarthy,Luke Roessler,55737
Flight of the Conchords,(2007–2009),NA,28 min,"Comedy, Music, Musical",8.5,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",Bret McKenzie,Rhys Darby,Kristen Schaal,NA,55256
Chappelle's Show,(2003–2006),NA,22 min,"Comedy, Music",8.8,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,Donnell Rawlings,Rudy Rush,Charlie Murphy,NA,54457
Black Books,(2000–2004),NA,25 min,Comedy,8.5,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",Bill Bailey,Tamsin Greig,Paul Beech,NA,54447
The Last Ship,(2014–2018),16,60 min,"Action, Drama, Sci-Fi",7.5,The crew of a naval destroyer is forced to confront the reality of a new existence when a pandemic kills off most of the earth's population.,Eric Dane,Adam Baldwin,Charles Parnell,Travis Van Winkle,54425
The Shannara Chronicles,(2016–2017),18,42 min,"Adventure, Fantasy, Sci-Fi",7.2,"Series of adventures, war, and evil that occur throughout the history of the Four Lands.",Austin Butler,Ivana Baquero,Manu Bennett,Aaron Jakubenko,54373
A Series of Unfortunate Events,(2017–2019),7,50 min,"Adventure, Comedy, Drama",7.8,"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets.",Neil Patrick Harris,Patrick Warburton,Malina Weissman,Louis Hynes,53947
Jericho,(2006–2008),NA,45 min,"Action, Drama, Mystery",7.9,"A small town in Kansas is literally left in the dark after seeing a mushroom cloud over near-by Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive.",Lennie James,Ashley Scott,Kenneth Mitchell,NA,53920
Pushing Daisies,(2007–2009),NA,44 min,"Comedy, Drama, Fantasy",8.3,"A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress.",Anna Friel,Chi McBride,Jim Dale,NA,53643
Shadowhunters: The Mortal Instruments,(2016–2019),18,42 min,"Action, Drama, Fantasy",6.6,"After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters.",Katherine McNamara,Dominic Sherwood,Alberto Rosende,Matthew Daddario,53464
Peep Show,(2003–2015),NA,25 min,Comedy,8.6,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,Robert Webb,Matt King,Olivia Colman,NA,53422
